2019	Institution Name		SIZE	FOCUS	RES.	AGE	STATUS	ARscore	ARrank	ERscore	ERrank	FSscore	FSrank	CSscore	CSrank	IFscore	IFrank	ISscore	ISrank	Overall Score
176	UNIVERSITÄT WIEN	Austria	XL	FC	VH	5	A	60,8	111	35,7	266	26,6	546	17,4	586	98,4	90	93,4	87	46,4
177	UNIVERSITY OF OTAGO	New Zealand	L	FC	VH	5	A	48,6	155	40,1	229	21,7	601	50,9	225	100	32	65,6	215	46,4
178	TECNOLÓGICO DE MONTERREY (ITESM)	Mexico	L	FC	HI	4	B	33,2	246	82,3	67	88,4	94	3,9	601	99,6	60	22,2	494	46,2
179	ERASMUS UNIVERSITY ROTTERDAM	Netherlands	L	FO	VH	5	A	34,1	234	45,4	195	43,1	362	59,3	165	74,1	230	71,6	182	46,1
180	QUEEN'S UNIVERSITY OF BELFAST	United Kingdom	L	FC	VH	5	A	27,3	308	37,6	245	44,3	349	62,3	137	99,5	68	96,9	65	45,9
181	UNIVERSITÀ DI BOLOGNA (UNIBO)	Italy	XL	FC	VH	5	A	72,1	77	49,6	169	7,3	601	46,2	272	10,5	601	14,6	601	45,9
182	UNIVERSITY OF FLORIDA	United States	XL	FC	VH	5	A	48,2	156	35,7	265	71,5	189	33,1	384	21,6	511	17,8	550	45,9
183	DARTMOUTH COLLEGE	United States	M	FC	VH	5	B	21,9	376	34,5	278	79,5	151	77	72	5	601	37,4	368	45,8
184	UNIVERSITI KEBANGSAAN MALAYSIA (UKM)	Malaysia	L	FC	VH	3	A	47,4	160	33,6	282	80,9	147	13,7	601	44,1	352	38,4	358	45,5
185	UNIVERSITY OF ROCHESTER	United States	M	FC	VH	5	B	24,4	336	9,3	501	100	12	36	353	60,7	287	89,3	109	45,5
186	CASE WESTERN RESERVE UNIVERSITY	United States	M	FC	VH	5	B	20,6	394	11,3	501	97,4	49	53,5	202	43,2	357	72,2	180	45,4
187	UNIVERSITÄT FREIBURG	Germany	L	FC	VH	5	A	50,1	148	27	360	33,9	449	52,5	209	59,3	297	45,9	310	45,4
188	VRIJE UNIVERSITEIT BRUSSEL (VUB)	Belgium	M	FC	VH	5	A	24,2	338	29,4	331	95,6	58	29,2	440	84,1	196	65,4	217	45,2
189	KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM)	Saudi Arabia	M	CO	VH	4	A	24,4	335	29,7	327	93,9	71	33,6	376	100	19	35,9	382	45,1
190	UNIVERSITY OF COLORADO AT BOULDER	United States	XL	CO	VH	5	A	37,5	207	30	325	69,4	202	51,5	219	38,4	393	15,7	578	45
191	TECHNISCHE UNIVERSITÄT DRESDEN	Germany	XL	FC	VH	5	A	33,4	243	72,5	94	82,4	132	20,7	538	35,5	413	36,4	376	44,9
192	UNIVERSITY OF VIRGINIA	United States	L	FC	VH	5	A	38,6	201	40,1	230	65,2	225	49,5	240	29,5	453	17	559	44,8
193	UNIVERSITAT AUTÓNOMA DE BARCELONA	Spain	XL	FC	VH	4	A	63	103	35,9	261	21	601	44,1	289	26,4	474	28,3	445	44,7
194	UNIVERSITY COLLEGE DUBLIN (UCD)	Ireland	L	FC	VH	5	A	42,4	184	49	172	27,1	536	46,2	273	96,2	120	65,1	220	44,7
195	UNIVERSITY OF READING	United Kingdom	L	CO	VH	5	A	33,6	240	41,6	221	38,3	401	49,1	245	93,5	138	91,2	97	44,4
196	VANDERBILT UNIVERSITY	United States	L	FC	VH	5	B	29,1	281	20	463	100	6	37,6	343	25,7	482	36	380	44,4
197	GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN	Germany	XL	FC	VH	5	A	50,1	147	19,7	469	68,5	207	23,8	497	47	341	27,5	449	44,3
198	KEIO UNIVERSITY	Japan	XL	FC	VH	5	B	51,1	146	77	86	63,5	231	9,7	601	13,4	601	11,1	601	44,1
199	TECHNISCHE UNIVERSITÄT WIEN	Austria	L	FO	VH	5	A	30,3	267	61,9	120	6,7	601	79,6	63	74,1	232	91,4	94	44
200	STOCKHOLM UNIVERSITY	Sweden	L	CO	VH	5	A	51,8	143	20,3	460	29,5	506	51,6	218	78,7	211	17,5	554	43,9
201	UNIVERSITY OF CAPE TOWN	South Africa	L	FC	VH	5	A	45,6	169	47,7	180	31	493	43,8	292	72,1	238	44,8	314	43,9
202	UNIVERSITI PUTRA MALAYSIA (UPM)	Malaysia	L	FC	VH	3	A	41	188	33,2	285	67,3	213	19,7	555	55,9	312	74,4	170	43,8
203	TEXAS A&M UNIVERSITY	United States	XL	FC	VH	5	A	59,1	115	48	179	14,1	601	51,8	216	20,3	531	14,5	601	43,5
204	RADBOUD UNIVERSITY NIJMEGEN	Netherlands	L	FC	VH	4	A	29,4	279	13,4	501	50,2	303	79,5	65	55,3	314	28,4	444	43,3
205	UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP)	Brazil	L	FC	VH	4	A	65,6	93	45,2	196	27	538	31	416	11,1	601	5,1	601	43,3
206	UNIVERSIDAD COMPLUTENSE DE MADRID (UCM)	Spain	XL	FC	VH	5	A	65,6	94	73	92	24,8	571	14,9	601	3,4	601	29,5	433	43,2
207	UNIVERSITI SAINS MALAYSIA (USM)	Malaysia	L	FC	VH	3	A	45,9	168	40,9	225	64,3	228	19,6	556	36	411	37,5	367	43
208	NATIONAL CHIAO TUNG UNIVERSITY	Taiwan	M	CO	VH	5	A	26,7	312	37,1	248	52,3	292	68	111	38,5	390	43	328	42,6
209	UNIVERSIDAD DE CHILE	Chile	XL	FC	HI	5	A	68,8	84	84,1	60	14,4	601	13,6	601	11,4	601	8,3	601	42,6
210	WASEDA UNIVERSITY	Japan	XL	CO	VH	5	B	56,1	127	86	54	33,1	460	8,2	601	30,2	451	34,5	390	42,6
211	MAASTRICHT UNIVERSITY	Netherlands	L	CO	VH	3	A	21,8	377	22,7	418	28,8	516	78,9	66	97,5	105	100	15	42,5
212	ARIZONA STATE UNIVERSITY	United States	XL	CO	VH	5	A	41,6	186	27	359	12,2	601	70,6	95	64,5	268	61,6	233	42,3
213	UNIVERSITY OF NOTRE DAME	United States	L	CO	VH	5	B	30,3	266	30,8	315	58,6	263	55,6	191	61,9	279	20,8	509	42,3
214	UNIVERSITY OF ILLINOIS, CHICAGO (UIC)	United States	L	FC	VH	5	A	46,4	165	28,9	342	48,2	318	38,8	336	22,7	503	37,7	364	42
215	UNIVERSITY OF NEWCASTLE	Australia	L	FC	VH	4	A	31,2	259	26,2	371	34,6	441	54	200	99,8	57	82,3	138	42
216	WESTERN UNIVERSITY	Canada	L	FC	VH	5	A	29,7	274	63,5	115	10,1	601	70,1	100	99,6	62	51,9	281	42
217	SAPIENZA - UNIVERSITÀ DI ROMA	Italy	XL	FC	VH	5	A	69,9	82	36,1	257	5,6	601	41,2	316	5,2	601	9,5	601	41,8
218	LOUGHBOROUGH UNIVERSITY	United Kingdom	L	FO	VH	4	A	28,8	287	63,4	116	33	461	44,5	285	81,7	202	76,1	163	41,4
219	UNIVERSITY OF WOLLONGONG	Australia	L	FC	VH	3	A	28,3	295	37,2	247	22,3	601	63,2	131	95,9	122	86,9	120	41,4
220	AL-FARABI KAZAKH NATIONAL UNIVERSITY	Kazakhstan	L	CO	HI	4	A	33,4	245	48,9	173	99,3	38	1,2	601	34,4	426	23	487	41,3
221	SCIENCES PO PARIS	France	M	SP	VH	5	A	25	329	42,5	214	90	87	4,3	601	56,3	307	99	41	41
222	VICTORIA UNIVERSITY OF WELLINGTON	New Zealand	L	CO	VH	5	A	43,6	177	30,2	323	14,8	601	47,6	255	99,4	70	59,5	244	41
223	UNIVERSITÄT HAMBURG	Germany	L	FC	VH	4	A	44,8	174	22,9	414	60,5	252	27	461	36,3	407	25,2	467	40,9
224	UNIVERSITY OF ANTWERP	Belgium	L	FC	VH	3	A	22,6	365	22,7	420	94,8	65	25,5	471	65,4	261	42,7	330	40,9
225	UNIVERSITY OF LEICESTER	United Kingdom	L	FC	VH	4	A	23,6	348	22,8	416	49,9	306	50,7	227	88	177	91,2	99	40,9
226	GEORGETOWN UNIVERSITY	United States	L	FC	VH	5	B	35,1	225	38,7	238	69,7	200	27,3	456	21,5	512	46,4	306	40,8
227	UNIVERSITY OF SUSSEX	United Kingdom	L	FC	HI	4	A	29	285	12,6	501	29,7	503	60,4	154	96,9	113	98	52	40,7
228	UNIVERSITI TEKNOLOGI MALAYSIA (UTM)	Malaysia	L	CO	VH	3	A	30,1	269	35,6	267	85,3	116	17,1	593	27,8	467	58,8	251	40,5
229	UNIVERSITY OF CALGARY	Canada	XL	FC	VH	4	A	33,4	241	39,6	232	35,6	424	42,2	306	85,7	187	61,6	234	40,4
230	TEL AVIV UNIVERSITY	Israel	L	FC	VH	4	A	34,3	233	33,5	283	9,3	601	95,9	21	35,3	414	6,7	601	40,3
231	KING ABDUL AZIZ UNIVERSITY (KAU)	Saudi Arabia	XL	FC	VH	4	A	24,9	330	25,1	388	71,3	191	25,3	474	99,1	73	63,9	223	40
232	UNIVERSITY OF CANTERBURY	New Zealand	M	CO	VH	5	A	35,6	220	35,5	269	16,4	601	52,7	206	99,5	66	66,9	209	40
233	VRIJE UNIVERSITEIT AMSTERDAM	Netherlands	L	FC	VH	5	A	38,6	200	22,3	424	44,1	351	52,7	207	41,9	367	14,9	594	40
234	NATIONAL CHENG KUNG UNIVERSITY	Taiwan	L	FC	VH	4	A	37,8	205	39,3	233	44,2	350	45,2	277	17	575	29,4	435	39,4
235	SAINT-PETERSBURG STATE UNIVERSITY	Russia	L	FC	VH	5	A	35,3	223	31,3	304	95,2	62	4,8	601	6	601	31,8	412	39,2
236	ROYAL HOLLOWAY UNIVERSITY OF LONDON	United Kingdom	M	CO	VH	5	A	19,3	422	16,1	501	29,2	508	69,9	101	98,1	95	97,9	54	39,1
237	AMERICAN UNIVERSITY OF BEIRUT (AUB)	Lebanon	M	FC	VH	5	B	21,1	387	59,6	126	67,3	214	14,3	601	96,2	119	67,8	202	39
238	TUFTS UNIVERSITY	United States	M	FC	VH	5	B	19,8	412	14,2	501	79,7	150	48,4	250	37,6	398	41,4	337	39
239	QUEEN'S UNIVERSITY	Canada	L	FC	VH	5	A	33,7	238	65	110	10,4	601	58,5	174	76,2	219	23,7	480	38,9
240	UNIVERSITÉ LIBRE DE BRUXELLES (ULB)	Belgium	L	FC	VH	5	A	31,3	257	61,1	122	14,4	601	43	299	81,6	204	91,7	92	38,9
241	UNIVERSITÉ PARIS-SUD 11	France	L	CO	VH	5	A	29	284	16,5	501	81,9	138	23,4	502	45,6	348	43,8	323	38,9
242	UNIVERSIDAD DE NAVARRA	Spain	M	FC	VH	4	B	33	249	81,7	70	45	340	21,5	522	20,9	521	60,1	241	38,8
243	UNIVERSITY OF MIAMI	United States	L	FC	VH	4	B	21,1	388	16,9	501	76,6	163	54,1	198	7,9	601	41,2	341	38,8
244	NOVOSIBIRSK STATE UNIVERSITY	Russia	M	CO	VH	4	A	28,6	292	34,7	276	90,5	85	13,7	601	6	601	51,2	285	38,7
245	QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT)	Australia	XL	CO	VH	3	A	39,9	192	52,7	155	12,3	601	39,3	331	98,5	88	42,3	334	38,7
246	UNIVERSITY OF ARIZONA	United States	XL	FC	VH	5	A	40,1	190	22,5	421	20	601	72,2	89	14,7	601	18,2	543	38,5
247	TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY	Israel	L	FC	VH	5	A	31,5	255	31,6	298	24,4	579	70,6	96	61,5	282	9,9	601	38,4
248	UNIVERSITY OF SURREY	United Kingdom	L	CO	VH	4	A	23,7	346	29,4	332	28,8	514	52	213	95,9	121	97,2	63	38,3
249	UNIVERSITÀ DEGLI STUDI DI PADOVA (UNIPD)	Italy	XL	FC	VH	5	A	52,2	141	35,9	260	14	601	50	234	9,5	601	6,4	601	38,2
250	CURTIN UNIVERSITY	Australia	L	CO	VH	3	A	30	271	44,1	205	24,7	572	42,8	301	100	23	59,2	248	38
251	MACQUARIE UNIVERSITY	Australia	L	FC	VH	4	A	30,2	268	42,6	213	19,6	601	41,7	311	94,7	133	91,5	93	38
252	RMIT UNIVERSITY	Australia	XL	CO	VH	3	A	33,9	237	65,2	108	14,1	601	27,4	455	100	40	89,8	106	38
253	TECHNISCHE UNIVERSITÄT DARMSTADT	Germany	L	FO	VH	5	A	20,5	399	79,1	78	7,5	601	73,6	82	50,4	327	59,5	245	37,9
254	UNIVERSIDAD CARLOS III DE MADRID	Spain	L	FO	VH	3	A	34,4	232	59,4	128	68	210	9,2	601	38,7	387	14,9	593	37,9
255	RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN	Germany	XL	FC	VH	5	A	46,6	164	22,2	427	45	341	24	490	30,5	448	27,6	448	37,7
256	KING SAUD UNIVERSITY (KSU)	Saudi Arabia	XL	FC	VH	4	A	25,1	327	27,6	354	81,5	141	15,2	601	96,2	118	11,8	601	37,6
257	NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	Taiwan	M	FO	VH	3	A	23,4	353	23,5	405	76,3	165	39,8	325	17,2	572	31,7	414	37,5
258	WUHAN UNIVERSITY	China	XL	FC	VH	5	A	37,4	209	54,5	149	25,5	564	42,1	307	56,2	309	12,5	601	37,5
259	UNIVERSITY OF MASSACHUSETTS, AMHERST	United States	L	CO	VH	5	A	44,8	173	16,1	501	19,2	601	59,8	162	21	517	15,7	579	37,3
260	NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)	Ireland	L	FC	HI	5	A	20,5	398	26,2	372	76,2	166	17,3	589	90,8	160	59,1	250	37,1
261	UNIVERSITÄT STUTTGART	Germany	L	CO	VH	5	A	26,7	313	59,9	125	14,3	601	62,6	134	36,7	404	62,8	229	37,1
262	UNIVERSITY OF TSUKUBA	Japan	L	FC	VH	3	A	34,9	228	18	495	69,3	203	23,8	495	18,2	560	33,7	398	37,1
263	ECOLE DES PONTS PARISTECH	France	S	FO	VH	5	A	10	501	64,2	112	86,5	110	14,3	601	27,1	471	100	21	37
264	INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM)	India	M	CO	VH	4	A	35,2	224	45,9	191	29,8	502	58,7	172	3,3	601	1,6	601	36,7
265	KYUNG HEE UNIVERSITY	South Korea	L	FC	VH	4	B	23,8	344	36,9	252	84,6	120	19,5	560	15,6	588	35,4	385	36,7
266	SIMON FRASER UNIVERSITY	Canada	L	CO	VH	4	A	22,7	362	22,9	413	6,2	601	73	85	95,4	128	91,8	91	36,7
267	UNIVERSITY OF SOUTH AUSTRALIA (UNISA)	Australia	L	CO	VH	3	A	23,8	345	21,4	442	32,6	469	49,2	243	100	11	72,6	176	36,7
268	UNIVERSITY OF STRATHCLYDE	United Kingdom	L	CO	VH	4	A	25,5	326	55,7	140	27,5	531	33,1	386	93,2	143	79,6	148	36,6
269	UNIVERSITY OF EAST ANGLIA (UEA)	United Kingdom	L	FC	HI	4	A	20,2	406	14	501	44,4	344	47,3	260	84,5	192	84,4	127	36,4
270	UNIVERSITY OF GOTHENBURG	Sweden	L	FC	VH	5	A	34,6	231	12,5	501	56,3	278	32,1	407	42,5	363	27,4	450	36,4
271	CHULALONGKORN UNIVERSITY	Thailand	XL	FC	HI	5	A	58,6	118	44,9	197	28,1	529	8,7	601	15,7	586	3,3	601	36,3
272	UNIVERSIDAD DE LOS ANDES COLOMBIA	Colombia	L	FC	HI	4	B	51,6	144	78,5	80	22,2	601	7,1	601	30,6	446	3	601	36,1
273	UNIVERSITY OF DUNDEE	United Kingdom	M	FC	VH	4	A	18,4	447	10,6	501	73,2	182	26,7	463	89,1	171	63,6	225	36,1
274	UNIVERSITY OF WAIKATO	New Zealand	M	CO	VH	4	A	18,3	448	19,2	476	16,9	601	71,7	92	97,6	102	80,4	146	36
275	UNIVERSIDAD NACIONAL DE COLOMBIA	Colombia	XL	FC	HI	5	A	58,9	116	82,1	68	12,8	601	4,5	601	10,8	601	1,6	601	35,9
276	UNIVERSITAT POLITÈCNICA DE CATALUNYA	Spain	L	CO	VH	3	A	36	219	38	242	55,4	284	22,7	512	9,9	601	29,5	431	35,9
277	HONG KONG BAPTIST UNIVERSITY (HKBU)	Hong Kong	M	FC	HI	2	A	15,8	501	14,3	501	40,5	379	52	214	100	53	89,7	107	35,8
278	TOMSK STATE UNIVERSITY	Russia	M	CO	VH	5	A	19,2	424	21,1	447	99	43	3,4	601	25,6	483	82,9	134	35,8
279	DALHOUSIE UNIVERSITY	Canada	L	FC	VH	5	A	19,1	426	18,7	483	24,4	578	62,1	139	100	48	76,9	161	35,7
280	NORTH CAROLINA STATE UNIVERSITY	United States	L	CO	VH	5	A	32	254	12,7	501	35,2	432	47	265	64,6	265	38,3	362	35,7
281	UNIVERSITÄT FRANKFURT AM MAIN	Germany	XL	FC	VH	5	A	48,6	153	42,8	212	25,3	566	20,7	539	18,2	562	36,1	379	35,7
282	UNIVERSITÄT INNSBRUCK	Austria	L	FC	HI	5	A	20	409	29,5	328	56,8	275	17,3	590	98,1	94	99,2	38	35,7
283	INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK)	India	M	CO	VH	4	A	32,5	252	36,7	253	17,6	601	75,6	77	2,1	601	1,4	601	35,6
284	RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY, NEW BRUNSWICK	United States	XL	CO	VH	5	A	39,4	194	25,9	375	40,8	377	31,8	409	27,7	469	25,6	464	35,6
285	HARBIN INSTITUTE OF TECHNOLOGY	China	L	FO	VH	4	A	22,1	374	9,5	501	56	281	65,8	123	10,2	601	11,6	601	35,3
286	UNIVERSITY OF TURKU	Finland	L	FC	VH	4	A	26	319	31,5	301	67,4	212	30,1	427	35,8	412	7,5	601	35,3
287	UNIVERSITY OF TASMANIA	Australia	M	CO	VH	5	A	18,6	439	11,1	501	26	555	58,9	168	97	111	93,6	86	35,2
288	SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON	United Kingdom	S	SP	VH	5	A	27,5	306	15,3	501	44,4	345	18,1	582	100	36	100	17	35,1
289	UNIVERSITÉ GRENOBLE-ALPES (UGA)	France	XL	FC	VH	5	A	52,2	142	10,3	501	14,6	601	36,7	349	25,4	486	29,8	428	35
290	UNIVERSITY OF OTTAWA	Canada	XL	FC	VH	5	A	26,3	317	31,3	305	8,8	601	62,5	135	86,4	185	54,3	266	35
291	TONGJI UNIVERSITY	China	XL	FC	VH	5	A	29,6	277	14,3	501	25,9	558	52,2	212	91,8	153	27,1	453	34,9
292	BEIJING NORMAL UNIVERSITY	China	L	CO	VH	5	A	37,8	204	14,8	501	35,3	429	48,3	251	15,6	587	12,8	601	34,8
293	NATIONAL YANG MING UNIVERSITY	Taiwan	S	FC	VH	3	A	14,5	501	12,6	501	99,9	20	34,8	366	7,2	601	7,5	601	34,8
294	UNIVERSITY OF INDONESIA	Indonesia	XL	FC	MD	5	A	36,1	218	51,3	163	49,1	310	1,8	601	93,9	136	5,5	601	34,8
295	INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP)	India	M	FO	VH	4	A	26,5	314	44,3	202	18,3	601	76,8	74	9,9	601	1	601	34,7
296	SUN YAT-SEN UNIVERSITY	China	XL	FC	VH	4	A	35,4	222	44,4	201	41,8	370	30,9	417	19,1	548	9,3	601	34,7
297	UNIVERSITÉ PARIS DIDEROT - PARIS 7	France	L	FC	VH	5	A	42,2	185	5	501	19,1	601	43,9	291	33,9	429	59,4	246	34,7
298	UNIVERSITAT POMPEU FABRA	Spain	L	CO	VH	3	A	32,8	250	31,1	311	21,5	601	45	282	73	236	26,2	460	34,6
299	BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY	Russia	L	CO	HI	5	A	19,7	417	55,2	144	100	18	1,2	601	3,4	601	11,7	601	34,5
300	UNIVERSITÄT ERLANGEN-NÜRNBERG	Germany	XL	FC	VH	5	A	23,3	354	22,2	428	4	601	96,3	19	29,4	455	26,8	455	34,5
301	UNIVERSITÉ PARIS 1 PANTHÉON-SORBONNE	France	XL	FO	HI	5	A	55,8	128	53,1	154	5,1	601	3,8	601	24,6	490	75,6	167	34,5
302	HERIOT-WATT UNIVERSITY	United Kingdom	M	CO	VH	4	A	15,1	501	40,8	226	34,7	438	37,4	345	98,5	89	96,8	66	34,4
303	LINKÖPING UNIVERSITY	Sweden	L	CO	VH	3	A	19,9	411	28,9	343	56,1	279	41,8	310	58,5	300	19,1	536	34,4
304	UNIVERSITY OF HAWAII AT MĀNOA	United States	L	FC	VH	5	A	19,8	414	5,4	501	62,9	233	45,5	275	63,6	273	20,7	512	34,4
305	ECOLE NORMALE SUPÉRIEURE DE CACHAN	France	S	CO	VH	5	A	15,4	501	10,6	501	93,7	72	27,1	459	21,2	513	35,7	383	34,3
306	BIRKBECK COLLEGE, UNIVERSITY OF LONDON	United Kingdom	M	FO	VH	5	A	15,4	501	7,8	501	25,1	568	62	144	96,9	114	98,6	48	34,2
307	UNIVERSITÄT KÖLN	Germany	XL	FC	VH	5	A	36,9	213	44,7	198	40,1	385	15,9	601	43	360	30,4	426	34,2
308	NATIONAL TAIWAN NORMAL UNIVERSITY	Taiwan	M	CO	VH	4	A	26,3	316	11,8	501	78	157	10,9	601	16,6	577	73,4	172	34,1
309	DEAKIN UNIVERSITY	Australia	XL	FC	HI	3	A	28,1	299	43,6	209	7,9	601	42	309	97,2	109	68,7	197	34
310	UNIVERSIDAD POLITECNICA DE VALENCIA	Spain	L	CO	VH	4	A	24,1	339	25	389	83,1	126	14,6	601	6,5	601	32	410	33,7
311	YESHIVA UNIVERSITY	United States	M	FC	VH	5	B	3,3	501	2,9	501	97,5	47	59,3	166			13,3	601	33,7
312	MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY STATE UNIVERSITY	Russia	M	FO	VH	4	A	14,1	501	29,2	334	99	42	8,7	601	28,1	464	40	347	33,6
313	UNIVERSITY AT BUFFALO SUNY	United States	L	FC	VH	5	A	20,1	407	11	501	11,1	601	73,2	84	87,7	179	59,1	249	33,4
314	XI'AN JIAOTONG UNIVERSITY	China	XL	FC	VH	5	A	24	343	25,1	387	47,7	321	47	266	36,3	408	9,7	601	33,4
315	GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY (GIST)	South Korea	S	FO	VH	3	A	9,7	501	4	501	39,8	389	100	3	9,9	601	9	601	33,3
316	KHALIFA UNIVERSITY	United Arab Emirates	S	SP	VH	2	A	6,4	501	7,4	501	82,7	129	27,7	454	100	9	56,9	255	33,3
317	CHARLES UNIVERSITY	Czech Republic	XL	FC	VH	5	A	38,2	202	36,2	256	43,1	361	11,4	601	19	552	47,8	299	33,2
318	LINCOLN UNIVERSITY	New Zealand	S	CO	VH	5	A	7,8	501	8,7	501	58,5	267	39,7	327	92,2	149	97,6	58	33,2
319	EWHA WOMANS UNIVERSITY	South Korea	L	FC	HI	5	B	20,7	393	18,2	491	85,8	112	15,5	601	10,6	601	43,1	326	33,1
320	TILBURG UNIVERSITY	Netherlands	M	FO	VH	4	A	15,1	501	18,4	489	9,3	601	79,6	64	93,5	140	52,9	272	33,1
321	HIROSHIMA UNIVERSITY	Japan	L	FC	VH	4	A	24,5	334	11,8	501	84,1	122	17	594	12,7	601	16,7	566	32,8
322	UNIVERSITY OF TARTU	Estonia	M	FC	VH	5	A	20,4	402	21,6	440	82,7	128	18,9	568	22,4	505	20	526	32,8
323	INDIANA UNIVERSITY BLOOMINGTON	United States	XL	FC	VH	5	A	42,7	183	31,2	306	26,2	551	19,7	554	41,6	370	22,1	495	32,7
324	UNIVERSITY OF BRUNEI DARUSSALAM	Brunei	S	CO	HI	3	A	10	501	3,7	501	94,8	66	4,8	601	100	51	65,7	214	32,7
325	UNIVERSITÀ DEGLI STUDI DI MILANO	Italy	XL	FC	VH	4	A	45,2	171	24,8	394	9,8	601	45,1	280	11,5	601	6,2	601	32,5
326	NORTHEASTERN UNIVERSITY	United States	L	CO	VH	5	B	18,8	434	22,2	429	29,1	509	39,4	330	78,5	214	97,4	59	32,3
327	UNIVERSITÄT JENA	Germany	L	FC	VH	5	A	18,5	443	7,1	501	92,7	75	20,8	535			28,2	446	32,3
328	UNIVERSITY OF PORTO	Portugal	L	FC	VH	5	A	36,9	212	25,5	381	17,1	601	52,9	204	6,2	601	9,5	601	32,2
329	GRIFFITH UNIVERSITY	Australia	XL	FC	VH	3	A	24	341	24,4	396	14,9	601	47	268	98,3	93	54,4	265	32,1
330	"NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI (MOSCOW ENGINEERING PHYSICS INSTITUTE)""""ATIONAL RESEARCH NUCLEAR UNIVERSITY ""MEPHI"" (""""TIONAL R""""""ATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI"" (MOSCOW ENGINEERING PHYSICS INSTITUTE)""""ATIONAL RESEAR""""TIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI"" (MOSCOW ENGIN""""IONAL RESEARCH"""	Russia	M	FO	VH	4	A	9,9	501	20	462	96,1	53	5,1	601	44,1	353	72,6	177	32,1
331	WESTFÄLISCHE WILHELMS-UNIVERSITÄT MÜNSTER	Germany	XL	FC	VH	5	A	34,1	235	33,2	284	45,4	339	20,4	542	28	466	10,5	601	32,1
332	BRUNEL UNIVERSITY	United Kingdom	M	CO	VH	4	A	11,9	501	16,8	501	21	601	56,9	183	98,9	75	98,5	50	32
333	MASSEY UNIVERSITY	New Zealand	L	CO	VH	4	A	27,3	309	28,9	339	18,7	601	24,9	479	98,8	79	89,1	110	32
334	QATAR UNIVERSITY	Qatar	M	FC	HI	3	A	13,9	501	19,3	475	61,9	239	10,5	601	100	12	99,5	34	32
335	UNIVERSITÄT ULM	Germany	M	CO	VH	4	A	7,4	501	9,9	501	76	169	44,7	284	45,8	346	31,4	418	32
336	UNIVERSITY OF CALIFORNIA, SANTA CRUZ (UCSC)	United States	L	CO	VH	4	A	20,1	408	15,1	501	10,9	601	91,3	31	26,2	477	10,7	601	31,9
337	UNIVERSITY OF JYVÄSKYLÄ	Finland	M	CO	VH	4	A	17,2	475	5,7	501	87,2	106	21,7	519	43,6	355	7,3	601	31,9
338	NANKAI UNIVERSITY	China	L	FC	VH	4	A	24,1	340	8,1	501	33,9	446	61,8	146	31,1	444	8,8	601	31,7
339	UMEÅ UNIVERSITY	Sweden	L	FC	VH	4	A	18,6	438	7,4	501	81,1	144	24,4	487	31,9	439	15,1	592	31,7
340	UNIVERSITÄT MANNHEIM	Germany	M	FO	VH	5	A	18,5	444	67,4	104	11,5	601	56,3	186	44,5	350	33,3	401	31,7
341	UNIVERSITY COLLEGE CORK (UCC)	Ireland	L	FC	VH	5	A	25,7	324	25,5	382	28,7	521	30	429	95	132	46,4	307	31,7
342	VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH)	United States	XL	FC	VH	5	A	31,4	256	32,3	291	28,1	528	40	323	22,6	504	22,4	491	31,7
343	AALBORG UNIVERSITY	Denmark	L	FC	VH	3	A	17	479	34,4	279	43,9	354	33,5	377	75,7	221	39,7	351	31,6
344	NATIONAL RESEARCH UNIVERSITY - HIGHER SCHOOL OF ECONOMICS (HSE)	Russia	L	FO	VH	3	A	19,4	420	28,8	344	96,6	52	1,7	601	10,3	601	14,5	601	31,6
345	GEORGE WASHINGTON UNIVERSITY	United States	L	FC	VH	5	B	28,2	297	24,9	391	31,5	484	34,3	371	40,5	376	50,1	290	31,5
346	RENSSELAER POLYTECHNIC INSTITUTE	United States	M	CO	VH	5	B	11,9	501	12,4	501	32,2	475	73	86	40,3	379	47,7	301	31,5
347	UNIVERSITY OF UTAH	United States	L	FC	VH	5	A	16,4	501	6,9	501	66,8	215	43,7	293	26,8	472	14,1	601	31,5
